City,State,Metro,CountyName,SizeRank,Coordinates,Moving_Growth_2010_12,Moving_Growth_2013_15,Moving_Growth_2016_18,Avg_Median_2010_12,Avg_Median_2013_15,Avg_Median_2016_18
Cincinnati,OH,Cincinnati,Hamilton County,62,"39.1031182, -84.5120196",-0.016124245844935638,0.009734555946792043,0.018211629486618724,118524.98611111111,123008.30555555556,141198.4705882353
Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,63,"33.8352932, -117.9145036",-0.0001797987703132664,0.011831649401944212,0.021067755533313408,170066.22222222222,177777.70833333334,234353.32352941178
Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange County,64,"33.7455731, -117.8678338",0.00903702957668625,0.00551726360094624,0.028872610123101813,106065.27777777778,109279.0,146476.0294117647
Columbia,SC,Columbia,Richland County,65,"34.0007104, -81.0348144",-0.0036211333253903556,0.012393742135124312,0.011193952258894014,142909.68055555556,150938.47222222222,180520.1911764706
Islip,NY,New York-Newark-Jersey City,Suffolk County,66,,,,0.010102542772686818,,,79559.89705882352
Marietta,GA,Atlanta-Sandy Springs-Roswell,Cobb County,67,"33.952602, -84.5499327",0.003723365017918543,0.007046501952643413,-0.0007784702577807632,270960.4166666667,296692.3611111111,313318.23529411765
Corpus Christi,TX,Corpus Christi,Nueces County,68,"27.8005828, -97.396381",-0.015229747803844635,0.02388337808453169,0.013455677033359459,131866.66666666666,166501.25,202199.86764705883
Saint Louis,MO,St. Louis,Saint Louis City,69,,,0.027837046142243933,-0.005863952869432217,,368464.55555555556,425184.7205882353
Lexington,KY,Lexington-Fayette,Fayette County,70,,-0.003071540872754356,0.016249038902168875,0.020257426524136014,172906.875,195969.04166666666,264850.67647058825
Fort Wayne,IN,Fort Wayne,Allen County,71,"41.079273, -85.1393513",-0.014329010861524934,0.004928081713748129,0.01761556569242573,159651.33333333334,161185.13888888888,192143.38235294117
Greensboro,NC,Greensboro-High Point,Guilford County,72,"36.0726354, -79.7919754",-0.008983456911030129,0.037875277796415946,0.011860138756544588,138231.88888888888,205398.41666666666,273271.0882352941
Silver Spring,MD,Washington-Arlington-Alexandria,Montgomery County,73,,-0.004334724618538076,0.014959868518738992,0.011536142197094092,239661.86111111112,303460.72222222225,369364.70588235295
Toledo,OH,Toledo,Lucas County,74,"41.6639383, -83.555212",-0.01045031969967521,-0.00414832172166034,0.016989417579197825,183159.38888888888,168983.31944444444,195616.26470588235
Anchorage,AK,Anchorage,Anchorage Borough,75,"61.2180556, -149.9002778",-0.017809088869067274,0.03254286777778809,0.016310360571840734,181354.58333333334,248878.69444444444,333559.8382352941
Saint Paul,MN,Minneapolis-St. Paul-Bloomington,Ramsey County,76,,0.0008263482659563664,0.021005450527908923,0.013791751889549722,128371.51388888889,153933.91666666666,216233.45588235295
Naples,FL,Naples-Immokalee-Marco Island,Collier County,77,,,,0.011536652383533066,,,284134.9705882353
Durham,NC,Durham-Chapel Hill,Durham County,78,"35.9940329, -78.898619",-0.01204234928910841,0.01680657566558069,0.002213345450457038,196714.90277777778,286582.44444444444,319524.1911764706
Tallahassee,FL,Tallahassee,Leon County,79,"30.4382559, -84.2807329",-0.005867385553426801,0.025869535906650767,0.013812336252536994,128561.11111111111,145270.38888888888,194427.5
Stockton,CA,Stockton-Lodi,San Joaquin County,80,"37.9577016, -121.2907796",-0.011927126598750087,0.020476763052240145,0.03380938866542242,283768.02777777775,306744.9583333333,482842.64705882355
Plano,TX,Dallas-Fort Worth-Arlington,Collin County,81,"33.0198431, -96.6988856",-0.013156854047713128,0.03931578252688099,0.01740360037508686,184707.31944444444,286836.40277777775,388377.23529411765
Newark,NJ,New York-Newark-Jersey City,Essex County,82,"40.735657, -74.1723667",0.031796828616554945,-0.008146115016774175,0.03995420467440852,69112.98611111111,67139.02777777778,78024.54411764706
Henderson,NV,Las Vegas-Henderson-Paradise,Clark County,83,"36.0395247, -114.9817213",0.007673726297048063,0.034186059575717874,0.016524272819465474,126665.27777777778,201212.48611111112,263650.1176470588
Lincoln,NE,Lincoln,Lancaster County,84,"40.8257625, -96.6851982",-0.001477279827138689,0.022331298690960365,0.010527080086385357,306943.0416666667,396255.6388888889,499084.1176470588
Modesto,CA,Modesto,Stanislaus County,85,"37.6390972, -120.9968782",-0.006294038510315508,0.006343611215942504,0.025658050951425652,134655.25,139499.13888888888,186787.14705882352
Chandler,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,86,"33.3061605, -111.8412502",-0.025071156993320607,0.027429713762246212,0.011177557667336021,126649.19444444444,169855.02777777778,221215.63235294117
Lubbock,TX,Lubbock,Lubbock County,87,"33.5778631, -101.8551665",-0.004560808862161857,0.005507816862868026,0.017282080184199883,135198.05555555556,138722.77777777778,162114.57352941178
Jersey City,NJ,New York-Newark-Jersey City,Hudson County,88,"40.7281575, -74.0776417",-0.008780133450056092,0.01153235883002844,0.013420044257034441,166818.33333333334,163866.625,204996.76470588235
Reno,NV,Reno,Washoe County,89,"39.5296329, -119.8138027",-0.0028086102150912647,0.015901577086222734,0.011064159541452855,190181.5,210869.63888888888,264032.35294117645
Buffalo,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,90,"42.8864468, -78.8783689",-0.005215517976367873,0.004518291943585816,0.00986953620985174,179950.0,188134.91666666666,206656.36764705883
Mobile,AL,Mobile,Mobile County,91,"30.6953657, -88.0398912",,0.02056357778019217,0.010304444218008739,,185358.70833333334,229334.7794117647
Hialeah,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,92,"25.8575963, -80.2781057",-0.015194290799755608,0.0011384232230132617,0.0045931403196426985,459765.77777777775,539038.8611111111,591918.8235294118
San Bernardino,CA,Riverside-San Bernardino-Ontario,San Bernardino County,93,"34.1083449, -117.2897652",,,0.003274622640142646,,,136052.20588235295
Chula Vista,CA,San Diego-Carlsbad,San Diego County,94,"32.6400541, -117.0841955",-0.007610208375859982,0.01776752973591415,0.017792886639112868,159469.75,209278.75,271862.5
Saint Petersburg,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,95,,-0.006700178219327883,0.021954207394530547,0.011678682011494251,568758.4444444445,750062.4861111111,914277.6176470588
Pensacola,FL,Pensacola-Ferry Pass-Brent,Escambia County,96,"30.421309, -87.2169149",,0.01505489848521921,0.0027659239566003063,,170368.68055555556,183198.5
Lawrenceville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,97,,-0.016868468556402578,0.01669344439779099,0.01569799640560897,217261.19444444444,275232.625,329685.29411764705
Winston-Salem,NC,Winston-Salem,Forsyth County,98,"36.0998596, -80.244216",-0.0004971776269381883,0.007472395419650267,0.00873411426170275,253442.06944444444,275133.05555555556,317743.73529411765
Spokane,WA,Spokane-Spokane Valley,Spokane County,99,"47.6587802, -117.4260466",-0.008130098048069682,0.024425097780352425,0.0029766099010991127,164284.79166666666,203393.88888888888,248371.4411764706
Madison,WI,Madison,Dane County,100,"34.6992579, -86.7483318",0.0013425414090916553,0.02210808922237426,0.023684960817769593,116928.26388888889,142049.27777777778,199245.45588235295
